Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Status
210205698,Good Boy (WAGs #1),Elle Kennedy,1464227357,9781464227356,0,3.86,Bloom Books,Kindle Edition,320,2024,2017,,3/17/25,to-read
57516722,"Off to the Races (Gold Rush Ranch, #1)",Elsie Silver,,9798743224272,0,3.7,Independently published,Paperback,334,2021,2021,,3/17/25,to-read
53544752,Den of Vipers,K.A. Knight,,,0,3.66,,Kindle Edition,654,2020,2020,,3/17/25,to-read
59737396,"You, with a View",Jessica  Joyce,059354840X,9780593548400,0,4.06,Berkley,Paperback,352,2023,2023,,3/17/25,to-read
75513900,"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,,,0,4.17,,Kindle Edition,526,2023,2023,,3/17/25,to-read
204593914,"Phantasma (Wicked Games, #1)",Kaylie Smith,1538769255,9781538769256,0,4.06,Forever,Paperback,497,2024,2024,,3/17/25,to-read
60714999,"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,,,0,4.28,Independently Published,Kindle Edition,504,2022,2022,,3/17/25,to-read
52831200,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,1952457017,9781952457012,0,4.22,Blue Box Press,ebook,622,2020,2020,,3/17/25,to-read
201144140,Body Check,Elle Kennedy,1335425535,9781335425539,0,3.41,Harlequin,Paperback,304,2024,2009,,3/17/25,to-read
85164835,"Nero (Alliance, #1)",S.J. Tilly,,,0,3.82,,Kindle Edition,368,2023,2023,,3/17/25,to-read
199261152,A Novel Love Story,Ashley Poston,0593640977,9780593640975,0,3.62,Berkley,Paperback,368,2024,2024,,3/17/25,to-read
217534420,"Rook & Rebel (The Mavericks, #1)",Kate Crew,,,0,3.85,Amazon Digital Services,Kindle Edition,381,2024,2024,,3/17/25,to-read
55710822,"Better Than the Movies (Better Than the Movies, #1)",Lynn Painter,1534467629,9781534467620,0,4.26,Simon & Schuster Books for Young Readers,Hardcover,356,2021,2021,,3/17/25,to-read
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,1501139231,9781501139239,0,4.4,Atria Books,Hardcover,389,2017,2017,,3/17/25,to-read
199135679,"The Pucking Wrong Date (Pucking Wrong, #3)",C.R. Jane,,,2,4.09,,Kindle Edition,454,2024,,3/11/25,3/11/25,read
157006962,"The Pucking Wrong Guy (Pucking Wrong, #2)",C.R. Jane,,,2,3.99,,Kindle Edition,414,2023,,3/9/25,3/9/25,read
123414004,"The Pucking Wrong Number (Pucking Wrong, #1)",C.R. Jane,,,3,3.54,,Kindle Edition,390,2023,2023,3/8/25,3/7/25,read
198972842,"Not in Love (Not in Love, #1)",Ali Hazelwood,0593550439,9780593550434,4,3.64,Berkley,Kindle Edition,384,2024,2024,3/6/25,2/11/25,read
217465190,"Wild Side (Rose Hill, #3)",Elsie Silver,,,5,4.19,,Kindle Edition,466,2025,2025,3/5/25,2/7/25,read
212705721,"The Charlie Method (Campus Diaries, #3)",Elle Kennedy,1990101208,9781990101205,4,3.49,EKI,Kindle Edition,530,2025,2025,3/4/25,2/7/25,read
200338241,"The Dixon Rule (Campus Diaries, #2)",Elle Kennedy,,,4,4.16,EKI,Kindle Edition,498,2024,2024,3/3/25,2/7/25,read
123255391,"The Graham Effect (Campus Diaries, #1)",Elle Kennedy,1990101186,9781990101182,4,4.18,EKI,Kindle Edition,498,2023,2023,3/2/25,2/7/25,read
13188676,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,006208559X,9780062085597,3,4.45,HarperCollins ,Kindle Edition,408,2014,2014,3/1/25,2/28/25,read
16126252,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,0062085565,9780062085566,3,4.11,HarperCollins,Kindle Edition,326,2013,2013,2/28/25,2/26/25,read
10429045,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,0062085484,9780062085481,2,3.84,Harper,Kindle Edition,338,2011,2011,2/26/25,3/18/25,read
18481271,"Unite Me (Shatter Me, #1.5-2.5)",Tahereh Mafi,0062327968,9780062327963,0,3.87,HarperTeen,Kindle Edition,197,2014,2014,2/26/25,3/18/25,read
58706519,"Part of Your World (Part of Your World, #1)",Abby Jimenez,1538704366,,5,4.26,Forever,Kindle Edition,402,2022,2022,2/24/25,2/7/25,read
150343880,"Fangirl Down (Big Shots, #1)",Tessa Bailey,,,5,3.8,Avon,Kindle Edition,380,2024,2024,2/23/25,4/4/24,read
210364592,"Wild Eyes (Rose Hill, #2)",Elsie Silver,1738125548,9781738125548,4,4.26,Elsie Silver Literary Inc.,Kindle Edition,407,2024,2024,2/22/25,2/7/25,read
13630413,"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi,,,0,3.95,Harper,Kindle Edition,133,2012,2012,,2/26/25,currently-reading
199821855,"Wild Love (Rose Hill, #1)",Elsie Silver,173812553X,9781738125531,4,4.01,Elsie Silver Literary Inc.,Kindle Edition,466,2024,2024,2/21/25,5/2/24,read
52050087,All He'll Ever Be (Merciless #1-4),W.  Winters,,,0,3.61,,Kindle Edition,740,2019,2019,,2/23/25,currently-reading
218358049,"The Wingman (Vancouver Storm, #3)",Stephanie  Archer,,,3,3.94,,Kindle Edition,448,2024,2024,2/19/25,2/19/25,read
202601495,"The Fake Out (Vancouver Storm, #2)",Stephanie  Archer,,,3,4.14,,Kindle Edition,440,2023,2023,2/18/25,2/7/25,read
212924099,Unromance,Erin Connor,153875942X,9781538759424,0,3.73,Forever,Paperback,343,2025,2025,,2/21/25,to-read
178359156,"Behind the Net (Vancouver Storm, #1)",Stephanie  Archer,,,3,3.8,,Kindle Edition,430,2023,2023,2/17/25,2/17/25,read
203505382,Vengeful Gods (Port Macabre #1),Elliott Rose,,,3,4,Cosmic Imprint Publishing,Kindle Edition,654,2024,,2/17/25,2/15/25,read
62625433,The True Love Experiment,Christina Lauren,,,4,4.07,Gallery Books ,Kindle Edition,413,2023,2023,2/14/25,2/11/25,read
215098003,"Scythe & Sparrow (The Ruinous Love Trilogy, #3)",Brynne Weaver,,,5,4.09,Slowburn,Kindle Edition,416,2025,2025,2/13/25,2/7/25,read
174753697,"Hopeless (Chestnut Springs, #5)",Elsie Silver,,,4,4.09,Elsie Silver Literary Inc.,Kindle Edition,486,2023,2023,2/11/25,2/7/25,read
108518990,"Reckless (Chestnut Springs, #4)",Elsie Silver,,,4,4.37,Amazon Digital Services,Kindle Edition,466,2023,2023,2/10/25,2/7/25,read
220389455,"All by My Elf (Under the Mistletoe Collection, #3)",Olivia Dade,166252823X,9781662528231,0,2.59,Amazon Original Stories,Kindle Edition,54,2024,2024,,12/30/24,to-read
210482187,Variation,Rebecca Yarros,1662514697,9781662514692,0,4.18,Montlake,Kindle Edition,459,2024,2024,,12/9/24,to-read
123002250,"My Dark Romeo (Dark Prince Road, #1)",Parker S. Huntington,,,0,3.73,PSH Publishing,Kindle Edition,368,2023,2023,,4/20/24,to-read
136470356,Nocticadia,Keri Lake,,,0,4.2,,Kindle Edition,682,2023,2023,,11/1/24,to-read
122753589,That Sik Luv,Jescie Hall,,,0,3.98,,Kindle Edition,566,2023,2023,,12/10/24,to-read
199395815,Pen Pal,J.T. Geissinger,125034669X,9781250346698,0,4.13,Bramble,Kindle Edition,353,2023,2022,,10/12/24,to-read
60034351,Does It Hurt?,H.D. Carlton,,,0,3.9,,Kindle Edition,432,2022,2022,,11/27/24,to-read
62907294,"There Are No Saints (Sinners, #1)",Sophie Lark,,,0,3.79,,Kindle Edition,378,2022,2021,,12/18/24,to-read
56986379,"Lords of Pain (Royals of Forsyth University, #1)",Angel Lawson,,,0,4.01,,Kindle Edition,356,2021,2021,,1/15/25,to-read
218488438,"Year One (Kingmakers, #1)",Sophie Lark,,,0,3.87,Independently Published,Kindle Edition,482,2024,2021,,1/14/25,to-read
53176010,"Highest Bidder Collection (Highest Bidder, #1-4)",Lauren Landish,,,0,3.89,,Kindle Edition,900,2020,,,1/8/25,to-read
60167660,"Code of Silence (Dark Kingdom, #1)",Shantel Tessier,,,0,3.87,Amazon Digital Services,Kindle Edition,323,2022,2020,,10/13/24,to-read
57055158,"After (After, #1)",Anna Todd,,,0,3.72,Gallery Books,ebook,607,2014,2014,,4/22/24,to-read
63031640,"Powerless  (Chestnut Springs, #3)",Elsie Silver,,,4,4.05,,Kindle Edition,504,2023,2023,2/9/25,2/7/25,read
61373532,"Heartless (Chestnut Springs, #2)",Elsie Silver,,,5,4.37,Amazon Digital Services,Kindle Edition,476,2022,2022,2/8/25,2/7/25,read
60755618,"Flawless (Chestnut Springs, #1)",Elsie Silver,,,4,4.02,Elsie Silver via Amazon Digital Services,Kindle Edition,424,2022,2022,2/7/25,2/5/25,read
212808709,Deep End,Ali Hazelwood,,,5,3.88,Berkley,Kindle Edition,464,2025,2025,2/6/25,2/7/25,read
123247704,"House of Flame and Shadow (Crescent City, #3)",Sarah J. Maas,,,5,4.22,Bloomsbury,Kindle Edition,852,2024,2024,2/5/25,2/2/25,read
57941596,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,1635574080,9781635574081,5,4.43,Bloomsbury Publishing ,Kindle Edition,807,2022,2022,2/2/25,1/31/25,read
44797223,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,,,5,4.45,Bloomsbury Publishing,Kindle Edition,874,2020,2020,1/31/25,1/15/25,read
86174792,"Give Me More (Salacious Players' Club, #3)",Sara Cate,1728282152,9781728282152,0,4.16,Sourcebooks Casablanca,Paperback,336,2023,2022,,2/11/25,to-read
211000011,"Restless Stars (Zodiac Academy, #9)",Caroline Peckham,1916926177,9781916926172,0,4.28,Dark Ink Publishing,Paperback,891,2024,2024,,2/11/25,to-read
210714656,"When the Moon Hatched (Moonfall, #1)",Sarah A. Parker,0008710228,9780008710224,0,4,HarperCollins,Hardcover,576,2024,2024,,2/11/25,to-read
188563943,"Apprentice to the Villain (Assistant to the Villain, #2)",Hannah Nicole Maehrer,152991776X,9781529917765,0,4.11,Penguin,Kindle Edition,336,2024,2024,,2/11/25,to-read
210163133,"The Cinnamon Bun Book Store (Dream Harbor, #2)",Laurie Gilmore,0008641587,9780008641580,0,3.71,One More Chapter,Paperback,348,2024,2024,,2/11/25,to-read
55509886,"Addiction (The Hunted, #2)",Ivy Smoak,,,2,4.16,Loft Troll Ink,Kindle Edition,479,2020,2015,1/29/25,1/29/25,read
55509875,"Temptation (The Hunted, #1)",Ivy Smoak,,,2,3.84,Loft Troll Ink,Kindle Edition,381,2020,2015,1/29/25,1/28/25,read
